,2_digit_naics,3_digit_naics,industry,avg_wage,monthly_rent_allowance,year,98103,98115,98133,98122,98125,98109,98105,98118,98102,98107,98117,98121,98116,98112,98101,98126,98104
157,48,488.0,Support activities for transportation,62412.0,1733.666666666667,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True
158,49,492.0,Couriers and messengers,40964.0,1137.888888888889,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
159,49,493.0,Warehousing and storage,56400.0,1566.666666666667,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
160,51,,Information,154003.0,4277.86111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
161,51,511.0,"Publishing industries, except Internet",180193.0,5005.36111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
162,51,512.0,Motion picture and sound recording industries,32679.0,907.75,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
163,51,515.0,"Broadcasting, except Internet",79578.0,2210.5,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
164,51,516.0,Internet publishing and broadcasting,0.0,0.0,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
165,51,517.0,Telecommunications,111885.0,3107.916666666666,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
166,51,518.0,"ISPs, search portals, and data processing",76858.0,2134.944444444445,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
167,51,519.0,Other information services,126960.0,3526.666666666666,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
168,52,,Finance and insurance,96662.0,2685.055555555556,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
169,52,522.0,Credit intermediation and related activities,84138.0,2337.1666666666665,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
170,52,523.0,"Securities, commodity contracts, investments",145493.0,4041.472222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
171,52,524.0,Insurance carriers and related activities,86353.0,2398.694444444445,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
172,53,,Real estate and rental and leasing,52098.0,1447.166666666667,2012,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True
173,53,531.0,Real estate,53289.0,1480.25,2012,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True
174,53,532.0,Rental and leasing services,46392.0,1288.6666666666667,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
175,53,533.0,Lessors of nonfinancial intangible asset,70419.0,1956.083333333333,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
176,54,,Professional and technical services,90140.0,2503.8888888888887,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
177,54,541.0,Professional and technical services,90140.0,2503.8888888888887,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
178,55,,Management of companies and enterprises,112578.0,3127.166666666666,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
179,55,551.0,Management of companies and enterprises,112578.0,3127.166666666666,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
180,56,,Administrative and waste services,50137.0,1392.6944444444446,2012,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
181,56,561.0,Administrative and support services,49852.0,1384.7777777777774,2012,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
182,56,562.0,Waste management and remediation service,56674.0,1574.2777777777774,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
183,61,,Educational services,36609.0,1016.9166666666665,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
184,61,611.0,Educational services,36609.0,1016.9166666666665,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
185,62,,Health care and social assistance,52481.0,1457.8055555555554,2012,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True
186,62,621.0,Ambulatory health care services,60872.0,1690.888888888889,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
187,62,622.0,Hospitals,75799.0,2105.527777777778,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,62,623.0,Nursing and residential care facilities,31262.0,868.3888888888887,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
189,62,624.0,Social assistance,26020.0,722.7777777777777,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,71,,"Arts, entertainment, and recreation",33200.0,922.2222222222223,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
191,71,711.0,Performing arts and spectator sports,66366.0,1843.5,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
192,71,712.0,"Museums, historical sites, zoos, and parks",34044.0,945.6666666666665,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
193,71,713.0,"Amusements, gambling, and recreation",19321.0,536.6944444444445,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
194,72,,Accommodation and food services,21994.0,610.9444444444445,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,72,721.0,Accommodation,30308.0,841.8888888888887,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
196,72,722.0,Food services and drinking places,20630.0,573.0555555555555,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,81,,"Other services, except public administration",31849.0,884.6944444444445,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
198,81,811.0,Repair and maintenance,44406.0,1233.5,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
